EmployeeID ,Age                    ,Attrition ,BusinessTravel ,Department ,DistanceFromHome    ,Education ,EducationField       ,Gender ,JobLevel ,JobRole ,MaritalStatus ,MonthlyIncome           ,NumCompaniesWorked   ,PercentSalaryHike      ,StockOptionLevel     ,TotalWorkingYears    ,TrainingTimesLastYear ,YearsAtCompany        ,YearsSinceLastPromotion ,YearsWithCurrManager ,JobInvolvement       ,PerformanceRating ,EnvironmentSatisfaction ,JobSatisfaction      ,WorkLifeBalance      ,AverageHoursWorked
         1 ,0.5714285714285712     ,        0 ,1.0            ,1.0        ,-0.6428571428571428 ,-0.5      ,-0.6                 ,-1.0   ,-1.0     ,-1.0    ,0.0           ,0.2750921537651392      ,-0.7777777777777778  ,-1.0000000000000002    ,-1.0                 ,-0.95                ,1.0                   ,-0.95                 ,-1.0                    ,-1.0                 ,0.3333333333333335   ,-1.0              ,0.3333333333333335      ,1.0                  ,-0.33333333333333326 ,-0.0563489332415692
         2 ,-0.38095238095238093   ,        1 ,0.0            ,0.0        ,-0.3571428571428572 ,-1.0      ,-0.6                 ,-1.0   ,-1.0     ,0.5     ,1.0           ,-0.665086887835703      ,-1.0                 ,0.714285714285714      ,-0.33333333333333337 ,-0.7                 ,0.0                   ,-0.75                 ,-0.8666666666666667     ,-0.5294117647058824  ,-0.33333333333333326 ,1.0               ,0.3333333333333335      ,-0.33333333333333326 ,1.0                  ,-0.5025808671713694
         3 ,-0.3333333333333335    ,        0 ,0.0            ,0.0        ,0.1428571428571428  ,0.5       ,0.6000000000000001   ,1.0    ,0.5      ,0.75    ,0.0           ,0.9293312269615586      ,-0.7777777777777778  ,-0.4285714285714288    ,1.0                  ,-0.75                ,-0.33333333333333337  ,-0.75                 ,-1.0                    ,-0.6470588235294117  ,0.3333333333333335   ,-1.0              ,-0.33333333333333326    ,-0.33333333333333326 ,-0.9999999999999999  ,-0.39521679284239486
         4 ,-0.04761904761904767   ,        0 ,-1.0           ,0.0        ,-0.9285714285714286 ,1.0       ,-0.6                 ,1.0    ,0.0      ,-0.75   ,0.0           ,-0.22991047919957885    ,-0.33333333333333337 ,-1.0000000000000002    ,1.0                  ,-0.35                ,0.6666666666666665    ,-0.6000000000000001   ,-0.06666666666666665    ,-0.4117647058823529  ,-0.33333333333333326 ,-1.0              ,1.0                     ,1.0                  ,0.3333333333333335   ,-0.12112869924294589
         5 ,-0.3333333333333335    ,        0 ,1.0            ,0.0        ,-0.3571428571428572 ,-1.0      ,0.20000000000000018  ,1.0    ,-1.0     ,0.75    ,1.0           ,-0.8596103212216957     ,-0.11111111111111116 ,-0.8571428571428572    ,0.33333333333333326  ,-0.55                ,-0.33333333333333337  ,-0.7                  ,-1.0                    ,-0.5294117647058824  ,0.3333333333333335   ,-1.0              ,1.0                     ,-0.9999999999999999  ,0.3333333333333335   ,0.7523227804542327
         6 ,0.33333333333333304    ,        0 ,1.0            ,0.0        ,-0.5                ,0.0       ,-0.6                 ,-1.0   ,0.5      ,0.25    ,0.0           ,-0.6775144813059506     ,-0.33333333333333337 ,-0.7142857142857144    ,-1.0                 ,0.40000000000000013  ,0.6666666666666665    ,-0.6499999999999999   ,-0.06666666666666665    ,-0.17647058823529416 ,0.3333333333333335   ,-1.0              ,0.3333333333333335      ,-0.33333333333333326 ,-0.33333333333333326 ,-0.4764280798348244
         7 ,-0.523809523809524     ,        1 ,1.0            ,0.0        ,-0.2857142857142857 ,-0.5      ,0.20000000000000018  ,1.0    ,-0.5     ,0.75    ,1.0           ,-0.49404949973670365    ,-0.5555555555555556  ,0.28571428571428514    ,-0.33333333333333337 ,-0.75                ,-0.33333333333333337  ,-1.0                  ,-1.0                    ,-1.0                 ,0.3333333333333335   ,1.0               ,-0.9999999999999999     ,0.3333333333333335   ,-0.9999999999999999  ,-0.5446490020646935
         8 ,-0.4761904761904763    ,        0 ,1.0            ,0.0        ,0.2142857142857142  ,0.0       ,-0.6                 ,1.0    ,-0.5     ,0.75    ,0.0           ,-0.775250131648236      ,-0.5555555555555556  ,0.5714285714285707     ,1.0                  ,-0.5                 ,-0.33333333333333337  ,-1.0                  ,-1.0                    ,-1.0                 ,0.3333333333333335   ,1.0               ,-0.9999999999999999     ,-0.33333333333333326 ,0.3333333333333335   ,-0.41586373021335143
         9 ,-0.38095238095238093   ,        0 ,1.0            ,0.0        ,-1.0                ,0.0       ,-0.6                 ,1.0    ,0.0      ,-0.5    ,0.0           ,-0.8909952606635072     ,-1.0                 ,0.42857142857142794    ,-1.0                 ,-0.5                 ,-0.33333333333333337  ,-0.55                 ,-0.06666666666666665    ,-0.05882352941176472 ,0.3333333333333335   ,1.0               ,-0.33333333333333326    ,1.0                  ,0.3333333333333335   ,-0.42197178251892664
        10 ,-0.6666666666666667    ,        0 ,-1.0           ,0.0        ,-0.5714285714285714 ,0.5       ,0.20000000000000018  ,-1.0   ,0.5      ,-0.5    ,-1.0          ,0.3117430226434965      ,-0.7777777777777778  ,-0.7142857142857144    ,-0.33333333333333337 ,-0.7                 ,-0.33333333333333337  ,-0.7                  ,-0.8666666666666667     ,-0.4117647058823529  ,0.3333333333333335   ,-1.0              ,-0.33333333333333326    ,-0.9999999999999999  ,0.3333333333333335   ,0.09248107364074354
        11 ,0.2857142857142856     ,        0 ,1.0            ,0.0        ,0.1428571428571428  ,-0.5      ,0.20000000000000018  ,1.0    ,-0.5     ,-0.5    ,0.0           ,-0.26466561348077944    ,-1.0                 ,-0.7142857142857144    ,0.33333333333333326  ,0.050000000000000044 ,-0.33333333333333337  ,0.0                   ,-0.4666666666666667     ,0.17647058823529416  ,-0.33333333333333326 ,-1.0              ,0.3333333333333335      ,1.0                  ,0.3333333333333335   ,-0.32751204404679957
        13 ,0.7619047619047614     ,        0 ,1.0            ,0.0        ,-0.0714285714285714 ,0.5       ,-0.6                 ,-1.0   ,-1.0     ,0.75    ,1.0           ,-0.5230121116377042     ,-1.0                 ,-0.14285714285714324   ,-1.0                 ,0.8500000000000001   ,-0.33333333333333337  ,0.7999999999999998    ,-0.4666666666666667     ,0.5294117647058825   ,0.3333333333333335   ,-1.0              ,1.0                     ,-0.9999999999999999  ,0.3333333333333335   ,0.23219201651754995
